match_id,over,ball,batting_team,bowling_team,commentary
1,1,1,MI,CSK,Rohit smashes it over mid-on for a massive SIX!
1,1,2,MI,CSK,"OUT! Caught behind, big wicket for CSK!"
1,1,3,MI,CSK,"Good length delivery, batsman defends. Dot ball."
1,1,4,MI,CSK,FOUR! Beautiful cover drive by Rohit!
1,1,5,MI,CSK,"Dot ball, brilliant yorker by Bumrah."
1,2,1,MI,CSK,SIX! Pollard launches it over long on!
1,2,2,MI,CSK,"OUT! Bowled him, what a delivery!"
1,2,3,MI,CSK,"Wide outside off, costly for MI."
1,2,4,MI,CSK,FOUR! Edged but flies over slip!
1,2,5,MI,CSK,"Dot ball, good line and length."
1,3,1,MI,CSK,SIX! Hardik Pandya goes big over long off!
1,3,2,MI,CSK,"OUT! LBW, big appeal and given! CSK on top!"
1,3,3,MI,CSK,FOUR! Lovely flick off the pads by Iyer!
1,3,4,MI,CSK,"Dot ball, tight over from Jadeja."
1,3,5,MI,CSK,Wide! Pressure building on CSK bowlers.
2,1,1,RCB,KKR,Virat drives it beautifully for FOUR!
2,1,2,RCB,KKR,"OUT! Virat caught at cover, massive blow for RCB!"
2,1,3,RCB,KKR,"Dot ball, Russell bowls a tight line."
2,1,4,RCB,KKR,SIX! De Villiers launches it into the stands!
2,1,5,RCB,KKR,"OUT! Another wicket, RCB in deep trouble!"
2,2,1,RCB,KKR,FOUR! Maxwell cuts it hard through point!
2,2,2,RCB,KKR,"Dot ball, good length delivery defended."
2,2,3,RCB,KKR,"SIX! Maxwell goes downtown, what a hit!"
2,2,4,RCB,KKR,"OUT! Caught at deep midwicket, KKR roar!"
2,2,5,RCB,KKR,"Dot ball, RCB struggling now."
3,1,1,CSK,RR,Dhoni finishes it off with a SIX! CSK win!
3,1,2,CSK,RR,"OUT! Bowled through the gate, big wicket!"
3,1,3,CSK,RR,FOUR! Raina cuts it hard through covers!
3,1,4,CSK,RR,"Dot ball, Chahal bowls a beauty."
3,1,5,CSK,RR,SIX! Jadeja goes big in the last over!
3,2,1,CSK,RR,OUT! LBW! RR on a roll now!
3,2,2,CSK,RR,FOUR! Lovely sweep shot by Faf!
3,2,3,CSK,RR,"Dot ball, tight bowling from Bumrah."
3,2,4,CSK,RR,Wide! Expensive over for RR.
3,2,5,CSK,RR,SIX! Dhoni's power hitting on display!
4,1,1,DC,SRH,Warner smashes FOUR through covers!
4,1,2,DC,SRH,"OUT! Warner caught at long on, big blow!"
4,1,3,DC,SRH,"Dot ball, good line from Rabada."
4,1,4,DC,SRH,SIX! Bairstow goes over long on!
4,1,5,DC,SRH,"OUT! Two down, SRH in trouble!"
4,2,1,DC,SRH,FOUR! Pant dives and hits it hard!
4,2,2,DC,SRH,"Dot ball, excellent over from Nortje."
4,2,3,DC,SRH,SIX! Stoinis launches it over long off!
4,2,4,DC,SRH,"OUT! Three wickets down, game shifting!"
4,2,5,DC,SRH,FOUR! Beautiful late cut by Pant!
5,1,1,PBKS,MI,KL Rahul drives for a beautiful FOUR!
5,1,2,PBKS,MI,"OUT! Caught at midwicket, Bumrah strikes!"
5,1,3,PBKS,MI,"Dot ball, tight line from Bumrah."
5,1,4,PBKS,MI,SIX! Gayle goes massive over long on!
5,1,5,PBKS,MI,"OUT! Gayle departs, PBKS losing steam!"
5,2,1,PBKS,MI,FOUR! Pooran hits it hard through covers!
5,2,2,PBKS,MI,"Dot ball, good bowling from Krunal."
5,2,3,PBKS,MI,SIX! Pooran finishes it in style!
5,2,4,PBKS,MI,"OUT! Caught behind, MI celebrate!"
5,2,5,PBKS,MI,"Dot ball, low scoring over for PBKS."
